料號,描述,內部成本,庫存量
STM32F103C8T6,ARM Cortex-M3 MCU 64KB Flash LQFP48,28.50,1200
STM32F407VGT6,ARM Cortex-M4 MCU 1MB Flash LQFP100,95.00,350
STM32F030F4P6,ARM Cortex-M0 MCU 16KB Flash TSSOP20,12.30,5000
STM32L476RGT6,ARM Cortex-M4 低功耗 MCU 1MB Flash LQFP64,88.00,420
STM32G071GBU6,ARM Cortex-M0+ MCU 128KB Flash UFQFPN28,22.00,1800
STM32H743VIT6,ARM Cortex-M7 MCU 2MB Flash LQFP100,168.00,90
STM32F401CCU6,ARM Cortex-M4 MCU 256KB Flash UFQFPN48,45.80,760
STM32L051K8U6,ARM Cortex-M0+ 低功耗 MCU 64KB Flash UFQFPN32,19.50,2200
STM32F072CBT6,ARM Cortex-M0 MCU 128KB Flash LQFP48,26.70,980
STM32G431CBT6,ARM Cortex-M4 MCU 128KB Flash LQFP48,38.90,650
STM32WB55CGU6,ARM Cortex-M4 藍牙 MCU 1MB Flash UFQFPN48,152.00,180
STM32F411CEU6,ARM Cortex-M4 MCU 512KB Flash UFQFPN48,52.30,540
STM32L152RBT6,ARM Cortex-M3 低功耗 MCU 128KB Flash LQFP64,41.20,310
STM32F215R8T6,ARM Cortex-M3 USB MCU 64KB Flash LQFP64,58.00,0
STM32U575ZIT6,ARM Cortex-M33 超低功耗 MCU 2MB Flash LQFP144,142.00,75
